message_id,text,cleaned_text,source,hateful_layer,implicit_layer,subtlety_layer,implicit_props_layer,target
4196,Immigrants steal our jobs and our country.,immigrants steal our jobs and our country .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Metaphor' 'Sentiment'],Immigrants and Refugees
30954922_1,"I wish you luck , is it any wonder Jew males lust for our White women ?","i wish you luck , is it any wonder jew males lust for our white women ?",wsf,HS,Implicit HS,Non-Subtle,['Humiliation' 'Rhetorical question' 'Sarcasm'],Ethnic/Racial Minorities
12,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,what  s the difference between a cow and the holocaust ? you stop milking the cow after years .,mconan,HS,Implicit HS,Non-Subtle,['Black humor' 'Metaphor'],Religious Groups
70,"""40% of Russia Army will be Muslim""",% of russia army will be muslim,youtube,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference' 'Sarcasm'],Religious Groups
136,jews know deep down  they're not white,jews know deep down they are not white,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sentiment'],Religious Groups
3797,Refugees are coming here just to be on welfare and food stamps.,refugees are coming here just to be on welfare and food stamps .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Sentiment'],Immigrants and Refugees
494,big difference between southern and midwestern evangelicals is racial consciousness,big difference between southern and midwestern evangelicals is racial consciousness,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference'],Ethnic/Racial Minorities
ENT1ST0023HS0090CN001280P2,"White women converted to Islam are the saddest and most selfish persons that you can encounter. They praise happily Islam beliefs and become part of a sisterhood of tollerance and understanding, but they do not know the situation of women in Pakistan and other islamic states.","white women converted to islam are the saddest and most selfish persons that you can encounter . they praise happily islam beliefs and become part of a sisterhood of tollerance and understanding , but they do not know the situation of women in pakistan and other islamic states .",conan,HS,Implicit HS,Non-Subtle,['Antithesis' 'Exaggeration' 'Sentiment'],Religious Groups
5,People should know when they are conquered ...,people should know when they are conquered .,youtube,HS,Implicit HS,Non-Subtle,"['Context' 'Extralinguistic knowledge' 'Inference' 'Sentiment'
 'Visual signs']",Nationalities/Regions
3124.0,Immigration Jihad in action. https://t.co/VuFN3DktJ7,immigration jihad in action .,hateval,HS,Implicit HS,Non-Subtle,['Black humor' 'Inference'],Immigrants and Refugees
3031,Jews run our country.,jews run our country .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony'],Religious Groups
45,#altrightmeans becoming great again .,#altrightmeans becoming great again .,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Sentiment'],Nationalities/Regions
390,"I remember hearing about a young muslim girl....lets not talk about ethnicity here, she was seen with a white guy who was not muslim, her father & brothers","i remember hearing about a young muslim girl.lets not talk about ethnicity here , she was seen with a white guy who was not muslim , her father brothers",youtube,HS,Implicit HS,Non-Subtle,['Inference' 'Sentiment' 'Visual signs'],Religious Groups
346,in order for jews to triumph  all it takes is for white men to do nothing .,in order for jews to triumph all it takes is for white men to do nothing .,ihc,HS,Implicit HS,Non-Subtle,['Antithesis' 'Context' 'Exaggeration' 'Irony'],Religious Groups
428,Two men do not constitute a family,two men do not constitute a family,mconan,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sentiment'],LGBTQ+
30468360_4,"You weather the zionist storm well , my brother .","you weather the zionist storm well , my brother .",wsf,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Irony' 'Metaphor'],Religious Groups
340,i would make white babies with all of them thats what i am willing to do for the white race,i would make white babies with all of them thats what i am willing to do for the white race,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Inference' 'Irony'],Ethnic/Racial Minorities
993,The only reason the Jews are not being assimilated is because they have the upper hand in the political system.,the only reason the jews are not being assimilated is because they have the upper hand in the political system .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Sentiment'],Religious Groups
291,: kkklankkk white brotherhood unite,: klank white brotherhood unite,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference'],Ethnic/Racial Minorities
ENT1ST0015HS0104CN000948P2,"A Muslim is so oversensitive, that we cannot raise our national flag.","a muslim is so oversensitive , that we cannot raise our national flag .",conan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Extralinguistic knowledge' 'Inference' 'Sentiment'],Religious Groups
641.0,In Austria the elder people in homes need 4 Euro for food daily each. Now the goverment like to reduce the benefit for refugees to 5 Euro daily. Why refugees get more money than the originated citiziens ? https://t.co/bSBvU06HXL,in austria the elder people in homes need euro for food daily each . now the goverment like to reduce the benefit for refugees to euro daily . why refugees get more money than the originated citiziens ?,hateval,HS,Implicit HS,Non-Subtle,['Rhetorical question' 'Sentiment'],Immigrants and Refugees
467,"jews want to assimulate other races, while arabs [ I mean not all ] try to keep their culture -","jews want to assimulate other races , while arabs [ i mean not all ] try to keep their culture",toxigen,HS,Implicit HS,Non-Subtle,['Inference' 'Sentiment'],Religious Groups
2533,Our immigration policy is turning us into second-rate countries.,our immigration policy is turning us into second rate countries .,mconan,HS,Implicit HS,Non-Subtle,['Inference' 'Sentiment'],Immigrants and Refugees
318,"when i was a kid i never saw any asians, now they are all over the place   ","when i was a kid i never saw any asians , now they are all over the place",toxigen,HS,Implicit HS,Non-Subtle,['Inference' 'Sentiment'],Ethnic/Racial Minorities
ENT1ST0014HS0108CN000895P1,It is curious that almost all easter eggs are being labelled 'chocolate eggs'. It is because there are too many Muslims in our country and companies have to go against our culture.,it is curious that almost all easter eggs are being labelled   chocolate eggs   . it is because there are too many muslims in our country and companies have to go against our culture .,conan,HS,Implicit HS,Non-Subtle,['Humiliation' 'Inference' 'Metaphor'],Religious Groups
96,"when bacteria grows to a critical populous inside a petrie dish, it destroys itself and decreases.","when bacteria grows to a critical populous inside a petrie dish , it destroys itself and decreases .",youtube,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Metaphor'],Non-Specified or General Targets
200,trump supports jews . jews support whitegenocide . get the picture ?,trump supports jews . jews support whitegenocide . get the picture ?,ihc,HS,Implicit HS,Non-Subtle,['Inference' 'Irony' 'Sentiment'],Religious Groups
3283,Gypsies steal our cars and trucks.,gypsies steal our cars and trucks .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Sentiment'],Ethnic/Racial Minorities
1121,"The Jews control the world. Their control has been demonstrated time and time again. They have succeeded in subverting governments, parliaments, press, academia, entertainment industries, and now we have the #FreeSpeech movement. They control the world.","the jews control the world . their control has been demonstrated time and time again . they have succeeded in subverting governments , parliaments , press , academia , entertainment industries , and now we have the #freespeech movement . they control the world .",mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony' 'Sentiment'],Religious Groups
13488146_2,We are more concerned about ZOG controlling US and Russia .,we are more concerned about zog controlling us and russia .,wsf,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Extralinguistic knowledge' 'Irony'],Non-Specified or General Targets
229,white self-hate : master stroke of the george lincoln rockwell #whitepeople #whitepride #wpww,white self hate : master stroke of the george lincoln rockwell #whitepeople #whitepride #wpww,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference'],Ethnic/Racial Minorities
12855154_1,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,their gods often had pale skin and blue eyes but i suppose literacy is n t valued highly by their cultural intelligencia .,wsf,HS,Implicit HS,Non-Subtle,['Black humor'],Religious Groups
1388,Islam has been used by powerful people to impose their beliefs on the rest of the world and to create Shariah based laws for the entire planet.,islam has been used by powerful people to impose their beliefs on the rest of the world and to create shariah based laws for the entire planet .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Sentiment'],Religious Groups
1465.0,"According to the supporters of immigration policy that would throw open the doors to every Tomas, Ri https://t.co/j8jECPrd1G    What the leftist media hides from you...","according to the supporters of immigration policy that would throw open the doors to every tomas , ri what the leftist media hides from you .",hateval,HS,Implicit HS,Subtle,['Context' 'Inference' 'Visual signs'],Immigrants and Refugees
359,keep up the great work . yo guys are literally the only white race advocates that physically do stuff .,keep up the great work . yo guys are literally the only white race advocates that physically do stuff .,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference'],Ethnic/Racial Minorities
71, i think i could get away with stealing from blind people if no one was watching,i think i could get away with stealing from blind people if no one was watching,toxigen,HS,Implicit HS,Non-Subtle,['Black humor' 'Inference'],People with Disabilities
176,so ? welcome to the real world . this is what today's immigrants want to do to whites,so ? welcome to the real world . this is what today s immigrants want to do to whites,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference'],Immigrants and Refugees
13454668_1,Black ``women''on London transport ...,black ` ` women  on london transport .,wsf,HS,Implicit HS,Non-Subtle,['Black humor' 'Rhetorical question' 'Visual signs'],Women
218,Jews control the u.s. government.,jews control the u . s . government .,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony'],Religious Groups
2709.0,"@realDonaldTrump  Pres. Trump, Hurricane Harvey is Man Made to keep your wall from being built and to open the borders to illegal migration.","realdonaldtrump pres . trump , hurricane harvey is man made to keep your wall from being built and to open the borders to illegal migration .",hateval,HS,Implicit HS,Non-Subtle,['Antithesis' 'Fallacy' 'Irony'],Political Affiliations
280.0,Many lice you will find in Viennese schools. Some refugees has brought us this as gift. To rescue it will cost 30 â‚¬ a person. https://t.co/UAv43Bylfb,many lice you will find in viennese schools . some refugees has brought us this as gift . to rescue it will cost    a person .,hateval,HS,Implicit HS,Non-Subtle,['Black humor' 'Sarcasm' 'Sentiment'],Immigrants and Refugees
3031.0,"Interestingly enough, Malians are often labeled ""economic migrants"" when trying to reach Europe and hardly receive asylum. https://t.co/tD17REN7oT","interestingly enough , malians are often labeled   economic migrants   when trying to reach europe and hardly receive asylum .",hateval,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sentiment'],Immigrants and Refugees
941,"Many Muslims are unemployed, poor and lack education.","many muslims are unemployed , poor and lack education .",mconan,HS,Implicit HS,Non-Subtle,['Fallacy' 'Sentiment'],Religious Groups
ENT1ST0015HS0078CN000966P1,In Birmingham there are Muslims shops that do not serve white people after 8pm.,in birmingham there are muslims shops that do not serve white people after pm .,conan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony'],Religious Groups
435,why are you always spreading rumor? he is the victim here! are you a muslim sympathizer?,why are you always spreading rumor ? he is the victim here ! are you a muslim sympathizer ?,toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Rhetorical question' 'Sentiment'],Religious Groups
989,"Jews are too connected to their homeland , they are not loyal to our nation.","jews are too connected to their homeland , they are not loyal to our nation .",mconan,HS,Implicit HS,Non-Subtle,['Inference' 'Sentiment'],Religious Groups
12835050_1,"I'm insulted by how stupid the Jews think we are until I see what they see by reading the posts amongst our so-called , `` Awakened Brethren . ''","I am insulted by how stupid the jews think we are until i see what they see by reading the posts amongst our so called , ` ` awakened brethren .",wsf,HS,Implicit HS,Subtle,['Circumlocution' 'Extralinguistic knowledge'],Religious Groups
214,Jews control the world economy,jews control the world economy,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony'],Religious Groups
965,Where is the love in White Britain when we need it?,where is the love in white britain when we need it ?,mconan,HS,Implicit HS,Non-Subtle,['Irony' 'Rhetorical question' 'Visual signs'],Ethnic/Racial Minorities
12903858_2,Just as soon as they repay for the generations of welfare their majestic peoples have consumed .,just as soon as they repay for the generations of welfare their majestic peoples have consumed .,wsf,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Irony'],Ethnic/Racial Minorities
12873389_2,"Thank you for your kind words , hope to meet you in the new white world one day soon .","thank you for your kind words , hope to meet you in the new white world one day soon .",wsf,HS,Implicit HS,Non-Subtle,['Sarcasm'],Ethnic/Racial Minorities
3483,"Feminism is all about the society the other way round, it is a female-centric movement.","feminism is all about the society the other way round , it is a female centric movement .",mconan,HS,Implicit HS,Non-Subtle,['Inference' 'Irony'],Women
3221,Jewry runs the world,jewry runs the world,mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Irony'],Religious Groups
4313,The responsibility for disability lies with the individuals who are not giving them enough support.,the responsibility for disability lies with the individuals who are not giving them enough support .,mconan,HS,Implicit HS,Subtle,['Antithesis' 'Context' 'Exaggeration' 'Inference'],People with Disabilities
14088896_3,I have been trying to find a job but the mexicans take everything we had .,i have been trying to find a job but the mexicans take everything we had .,wsf,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Sentiment'],Nationalities/Regions
63,"space-traveling aliens are pretty much exactly like humans but the word ""the"" is deleted before most of their speech",space traveling aliens are pretty much exactly like humans but the word   the   is deleted before most of their speech,toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Humiliation' 'Inference'],Non-Specified or General Targets
14106203_1,Someone Please Tell me what can be done or which people to tell that the Mexicans and or other hispanics here are undercutting price quotes on Good working People .,someone please tell me what can be done or which people to tell that the mexicans and or other hispanics here are undercutting price quotes on good working people .,wsf,HS,Implicit HS,Subtle,['Antithesis' 'Humiliation' 'Sentiment'],Nationalities/Regions
177,so what's the conspiracy ? jews lied about white people who,so what is the conspiracy ? jews lied about white people who,ihc,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Rhetorical question'],Religious Groups
14666912_1,"One thing you seemingly cannot grasp--that JEWS themselves are messiah , and their kingdom is earthly .","one thing you seemingly cannot grasp  that jews themselves are messiah , and their kingdom is earthly .",wsf,HS,Implicit HS,Non-Subtle,['Sarcasm' 'Visual signs'],Religious Groups
244,"if they would just learn english, they would have a much easier time in america.","if they would just learn english , they would have a much easier time in america .",toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Humiliation' 'Inference' 'Irony'],Immigrants and Refugees
1861,Migrants come here to have a better life upon our shoulders.,migrants come here to have a better life upon our shoulders .,mconan,HS,Implicit HS,Non-Subtle,['Inference' 'Metaphor' 'Sentiment'],Immigrants and Refugees
14017903_1,"Explain to them this is wrong. send mass emails explaining the science behind it , and tell everyone not to breed with them .","explain to them this is wrong . send mass emails explaining the science behind it , and tell everyone not to breed with them .",wsf,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Sentiment'],Ethnic/Racial Minorities
176,Go and read the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,go and read the protocols of the elders of zion if you haven  t . everything is orchestrated ..,mconan,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Inference' 'Sentiment' 'Visual signs'],Religious Groups
335,Have you ever seen a Muslim woman driving a car?,have you ever seen a muslim woman driving a car ?,toxigen,HS,Implicit HS,Non-Subtle,['Inference' 'Irony' 'Visual signs'],Religious Groups
30729421_2,"Many Asians will see something once and memorize it the rest of their lives , but when asked ' how ' it works or use it creatively , they draw a blank .","many asians will see something once and memorize it the rest of their lives , but when asked   how   it works or use it creatively , they draw a blank .",wsf,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Humiliation' 'Irony'],Ethnic/Racial Minorities
14670146_1,"It is important for people to realize that gays want gay marriage ..... not because they desire some sort of government paperwork , but because they are seeking the right to adopt defenseless children .","it is important for people to realize that gays want gay marriage . not because they desire some sort of government paperwork , but because they are seeking the right to adopt defenseless children .",wsf,HS,Implicit HS,Subtle,['Antithesis' 'Humiliation' 'Sentiment' 'Visual signs'],LGBTQ+
239, how courageous! you poor brave thing! you must have been really brave to be in a wheelchair (whilst listening to 'i am brave' by,how courageous ! you poor brave thing ! you must have been really brave to be in a wheelchair   whilst listening to   i am brave   by,toxigen,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Sarcasm' 'Visual signs'],People with Disabilities
3,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","jews cannot be patriots , since their allegiance will always be to the state of israel .",mconan,HS,Implicit HS,Non-Subtle,['Context' 'Exaggeration' 'Inference' 'Sentiment'],Religious Groups
30771696_2,I hear the jews are looking to open a Holohoax center in Antarctica next year .,i hear the jews are looking to open a holohoax center in antarctica next year .,wsf,HS,Implicit HS,Non-Subtle,['Black humor'],Religious Groups
2375,Immigration from Islamic countries is a mere legalized form of Jihad.,immigration from islamic countries is a mere legalized form of jihad .,mconan,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference' 'Sentiment'],Immigrants and Refugees
3638.0,Underpants which protect women against rape or harrassment. They are absolutly save and is buyed from german women as a runner. So they are proteced also from attacks from refugees. It would also fine for Me too women in Hollywood. https://t.co/PjykJtWrg3,underpants which protect women against rape or harrassment . they are absolutly save and is buyed from german women as a runner . so they are proteced also from attacks from refugees . it would also fine for me too women in hollywood .,hateval,HS,Implicit HS,Non-Subtle,['Black humor' 'Exaggeration' 'Metaphor'],Immigrants and Refugees
295,"Â  my best friend Sammy is a transexual and my favorite cosplayer, i think she is so fucking amazing <3 ""","my best friend sammy is a transexual and my favorite cosplayer , i think she is so fucking amazing <",toxigen,HS,Implicit HS,Non-Subtle,['Extralinguistic knowledge' 'Sarcasm' 'Visual signs'],LGBTQ+
3,"In the Vatican newspaper, L'Osservatore Romano, Monsignor Vittorio Formenti, wrote: ""For the first time in history we are no longer at the top: the Muslims have overtaken us.""","in the vatican newspaper , l osservatore romano , monsignor vittorio formenti , wrote :   for the first time in history we are no longer at the top : the muslims have overtaken us .",youtube,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Sentiment'],Religious Groups
1047,"Jews control Hollywood, they own most banks, and they own most corporations.","jews control hollywood , they own most banks , and they own most corporations .",mconan,HS,Implicit HS,Non-Subtle,['Exaggeration' 'Inference' 'Sentiment'],Religious Groups
15,Also why don't you go walk through Russia or Eastern Europe late at night.,also why do not you go walk through russia or eastern europe late at night .,youtube,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference' 'Irony' 'Sentiment'],Nationalities/Regions
209,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","jews control the banks , media , hollywood , even the u . s . government   jews have a secret plot to take over the world",mconan,HS,Implicit HS,Non-Subtle,['Black humor' 'Exaggeration'],Religious Groups
405,"most of them are here for the money, not to be part of the american society.","most of them are here for the money , not to be part of the american society .",toxigen,HS,Implicit HS,Non-Subtle,['Context' 'Inference' 'Sentiment'],Immigrants and Refugees
420,"women don't need to be in the workforce, they should be at home taking care of their families  ","women do not need to be in the workforce , they should be at home taking care of their families",toxigen,HS,Implicit HS,Non-Subtle,['Humiliation' 'Inference'],Women
365,"last time i chcked, the twin towers were the only buildings to collapse at freefall from fire.","last time i chcked , the twin towers were the only buildings to collapse at freefall from fire .",youtube,HS,Implicit HS,Non-Subtle,['Context' 'Extralinguistic knowledge' 'Inference' 'Sentiment'],Nationalities/Regions
46,#aryan men & women will either rise up to fight for their heritage  children  & future  or the white race will cease to exist . choose now .,#aryan men women will either rise up to fight for their heritage children future or the white race will cease to exist . choose now .,ihc,HS,Implicit HS,Non-Subtle,['Antithesis' 'Exaggeration' 'Inference' 'Sentiment'],Ethnic/Racial Minorities
