#SENTENCE_FROM_TWEET,LABEL,VERB,TARGET,ASPECT,AGENT_PERPETRATOR,PATIENT,SENTIMENT_OF_PATIENT,SENTIMENT_OF_AGENT_TOWARDS_PATIENT,AGENT_IS_NON-CONFORMISTIC
Lesbians abuse their girlfriends all the time.,ABUSE,abuse,Gays,NON_EPISODIC,PERPETRATOR,their girlfriends,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people bug me.,ABUSE,bug,Gays,NON_EPISODIC,_,me,POSITIVE,NEGATIVE,NON-CONFORMISTIC
And gay people are pleading to live peaceful lives free from prejudice and judgement!,OTHER,plead,Gays,NON_EPISODIC,_,live peaceful lives,POSITIVE,POSITIVE,_
Gay people are diluting any sanctity.,ABUSE,dilute,Gays,NON_EPISODIC,_,any sanctity,POSITIVE,NEGATIVE,NON-CONFORMISTIC
only gay people desecrate religious figures.,ABUSE,desecrate,Gays,NON_EPISODIC,PERPETRATOR,religious figures,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people pretend their straight.,ABUSE,pretend,Gays,NON_EPISODIC,_,their straight,POSITIVE,POSITIVE,_
Lesbians torture pensioner.,OTHER,torture,Gays,EPISODIC,PERPETRATOR,pensioner,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians perpetuate biphobia.,ABUSE,perpetuate,Gays,EPISODIC,_,biphobia,NEGATIVE,NEGATIVE,_
gay people disturb the natural rhythym of evolution.,ABUSE,disturb,Gays,NON_EPISODIC,PERPETRATOR,the natural rhythym of evolution,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people invade kindergartens.,ABUSE,invade,Gays,NON_EPISODIC,PERPETRATOR,kindergartens,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people attack hetrosexual marriage.,ABUSE,attack,Gays,EPISODIC,PERPETRATOR,hetrosexual marriage,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians are flooding Houston.,OTHER,flood,Gays,NON_EPISODIC,_,Houston,POSITIVE,POSITIVE,_
Gay people impose us to accept homosexuality.,ABUSE,impose,Gays,NON_EPISODIC,PERPETRATOR,us,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people are depriving society of their children.,ABUSE,deprive,Gays,NON_EPISODIC,_,society,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people alienate themselves.,ABUSE,alienate,Gays,NON_EPISODIC,_,themselves,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people destroy the sanctity of marriage.,ABUSE,destroy,Gays,NON_EPISODIC,_,the sanctity of marriage,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Lesbians obsess over Britney's ""Not A Girl, Not Yet A Woman"" video.",ABUSE,obsess,Gays,EPISODIC,_,"Britney's ""Not A Girl, Not Yet A Woman"" video",POSITIVE,POSITIVE,_
All these lesbians are clouding my judgement.,ABUSE,cloud,Gays,NON_EPISODIC,_,my judgement,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians wreck everything.,ABUSE,wreck,Gays,NON_EPISODIC,_,everything,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people frowning upon bisexuality.,OTHER,frown,Gays,NON_EPISODIC,_,bisexuality,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay People Defy Natural Law.,ABUSE,defy,Gays,NON_EPISODIC,_,Natural Law,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians glorify domestic violence.,ABUSE,glorify,Gays,NON_EPISODIC,PERPETRATOR,domestic violence,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Lesbians destroy your soul.,ABUSE,destroy,Gays,NON_EPISODIC,PERPETRATOR,your soul,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians oppose memorial to gay Holocaust victims.,OTHER,oppose,Gays,EPISODIC,_,memorial to gay Holocaust victims,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people are tricking straight people online.,ABUSE,trick,Gays,NON_EPISODIC,PERPETRATOR,straight people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians are boycotting an Auckland strip club.,OTHER,boycott,Gays,EPISODIC,_,an Auckland strip club,POSITIVE,NEGATIVE,NON-CONFORMISTIC
only gay people spank their kids.,ABUSE,spank,Gays,NON_EPISODIC,PERPETRATOR,their kids,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people riot outside the whitehouse.,OTHER,riot,Gays,EPISODIC,PERPETRATOR,,,,_
Gay people are spoiling this world.,ABUSE,spoil,Gays,NON_EPISODIC,PERPETRATOR,this world,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people badmouth trans people.,ABUSE,badmouth,Gays,NON_EPISODIC,PERPETRATOR,trans people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians exterminating trans women.,ABUSE,exterminate,Gays,NON_EPISODIC,PERPETRATOR,trans women,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"lesbians ""patronize"" bisexual women.",ABUSE,patronize,Gays,NON_EPISODIC,PERPETRATOR,bisexual women,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians are tormenting my mind.,ABUSE,torment,Gays,NON_EPISODIC,_,my mind,POSITIVE,NEGATIVE,NON-CONFORMISTIC
lesbians prevent teen pregnacies.,ABUSE,prevent,Gays,NON_EPISODIC,_,teen pregnacies,NEGATIVE,NEGATIVE,_
All these lesbians are drooling over Justin Bieber.,OTHER,drool,Gays,NON_EPISODIC,_,Justin Bieber,POSITIVE,POSITIVE,_
gay people are 'killing the sanctity of marriage'.,ABUSE,kill,Gays,NON_EPISODIC,PERPETRATOR,the sanctity of marriage,POSITIVE,POSITIVE,_
gay people lie a lot tbh.,ABUSE,lie,Gays,NON_EPISODIC,_,,,,_
gay people stunt children's growth like flowerpots.,ABUSE,stunt,Gays,NON_EPISODIC,PERPETRATOR,children's growth,POSITIVE,NEGATIVE,NON-CONFORMISTIC
gay people resent being forced back into the closet.,ABUSE,force,Gays,NON_EPISODIC,_,being forced back into the closet,NEGATIVE,NEGATIVE,_
Lesbians Murder 9 Year Old in Botched Transgender Attempt.,OTHER,murder,Gays,EPISODIC,PERPETRATOR,9 Year Old,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Gay people fight more people than anyone else.,ABUSE,fight,Gays,NON_EPISODIC,PERPETRATOR,people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians FAIL at the Korean Spicy Noodle Challenge.,OTHER,fail,Gays,EPISODIC,_,the Korean Spicy Noodle Challenge,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Lesbians curse a lot.,OTHER,curse,Gays,NON_EPISODIC,PERPETRATOR,,,,_
Jews are trolling non-Jews constantly and then claiming to be victims.,ABUSE,troll,Jews,NON_EPISODIC,PERPETRATOR,non-Jews,POSITIVE,NEGATIVE,NON-CONFORMISTIC
jews boycott all media.,ABUSE,boycott,Jews,NON_EPISODIC,_,all media,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Jews are butchering Palestinian men, women, children and infants every day.",ABUSE,butcher,Jews,NON_EPISODIC,PERPETRATOR,"Palestinian men, women, children and infants",POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Jews are annihilating entire villages, to the last, in the name of God.",ABUSE,annihilate,Jews,NON_EPISODIC,PERPETRATOR,entire villages,POSITIVE,NEGATIVE,NON-CONFORMISTIC
IT'S THE JEWS GOADING US INTO WAR WITH THEIR JEWISH HYPNOTISM AND CELL PHONE TECHNOLOGY!!,ABUSE,goad,Jews,NON_EPISODIC,PERPETRATOR,US,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews succumb to cultural degeneracy.,ABUSE,succumb,Jews,NON_EPISODIC,PERPETRATOR,cultural degeneracy,NEGATIVE,NEGATIVE,_
the Jews infest academia along with the rest of the institutions.,ABUSE,infest,Jews,NON_EPISODIC,PERPETRATOR,academia along with the rest of the institutions,POSITIVE,NEGATIVE,NON-CONFORMISTIC
The Jews glamorize paganism.,ABUSE,glamorize,Jews,NON_EPISODIC,PERPETRATOR,paganism,POSITIVE,POSITIVE,_
These Jews are harrassing a christian for having her market stand on the sidewalk.,OTHER,harrass,Jews,EPISODIC,PERPETRATOR,a christian,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews ditch the traditional matchmaker.,OTHER,ditch,Jews,NON_EPISODIC,_,the traditional matchmaker,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews desecrate holy places.,ABUSE,desecrate,Jews,NON_EPISODIC,PERPETRATOR,holy places,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews tend to be generous about donations.,OTHER,tend,Jews,NON_EPISODIC,_,be generous about donations,POSITIVE,POSITIVE,_
the Jews assassinate people for money.,ABUSE,assassinate,Jews,NON_EPISODIC,PERPETRATOR,people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
JEWS ARE SUFFERING ETHNIC CLEANSING IN YEMEN.,OTHER,suffer,Jews,EPISODIC,_,ETHNIC CLEANSING,NEGATIVE,NEGATIVE,_
Jews molest kids too.,ABUSE,molest,Jews,NON_EPISODIC,PERPETRATOR,kids,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews Goof on Black People.,ABUSE,goof,Jews,NON_EPISODIC,_,Black People,POSITIVE,POSITIVE,_
Jews Deport Over 99% Of Third World “Refugees”.,OTHER,deport,Jews,EPISODIC,PERPETRATOR,Over 99% Of Third World “Refugees”,NEGATIVE,NEGATIVE,_
Jews gouge the elderly.,ABUSE,gouge,Jews,NON_EPISODIC,PERPETRATOR,the elderly,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews are mocking Palestinian baby’s death.,ABUSE,mock,Jews,EPISODIC,PERPETRATOR,Palestinian baby’s death,NEGATIVE,NEGATIVE,_
Jews are beheading Christians.,ABUSE,behead,Jews,NON_EPISODIC,PERPETRATOR,Christians,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews sink Titanic.,ABUSE,sink,Jews,EPISODIC,PERPETRATOR,Titanic,NEGATIVE,NEGATIVE,_
Jews desist from non-Kosher.,OTHER,desist,Jews,NON_EPISODIC,_,non-Kosher,POSITIVE,POSITIVE,_
the jews are sinning.,ABUSE,sin,Jews,NON_EPISODIC,_,,,,_
Jews risk their lives for Haitians.,OTHER,risk,Jews,EPISODIC,_,their lives,POSITIVE,POSITIVE,_
JEWS ARE CACKLING TO THIS DAY!,ABUSE,cackle,Jews,NON_EPISODIC,PERPETRATOR,,,,_
Jews are Skewing the News.,ABUSE,skew,Jews,NON_EPISODIC,PERPETRATOR,the News,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews trivialize abortion holocaust to maintain their victimhood supremacy.,ABUSE,trivialize,Jews,NON_EPISODIC,PERPETRATOR,abortion holocaust,NEGATIVE,NEGATIVE,_
"Jews indulge in the sweet, doughy treat for the holiday.",OTHER,indulge,Jews,EPISODIC,_,"the sweet, doughy treat",POSITIVE,POSITIVE,_
The jews are hoaxing the people again.,ABUSE,hoax,Jews,NON_EPISODIC,PERPETRATOR,the people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews circumvent the system of rank and order of society.,ABUSE,circumvent,Jews,NON_EPISODIC,_,the system of rank and order of society,POSITIVE,NEGATIVE,NON-CONFORMISTIC
The Jews are defrauding you.,ABUSE,defraud,Jews,EPISODIC,PERPETRATOR,you,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews are Struggling to Survive as Fighting Intensifies in Eastern Ukraine.,OTHER,struggle,Jews,EPISODIC,_,Survive,POSITIVE,POSITIVE,_
jews are leaking into Europe.,ABUSE,leak,Jews,NON_EPISODIC,_,into Europe,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews are suffocating PALESTINIANS.,ABUSE,suffocate,Jews,NON_EPISODIC,PERPETRATOR,PALESTINIANS,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews suspend social media on regular basis.,OTHER,suspend,Jews,NON_EPISODIC,_,social media,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews are messing with white women's heads.,ABUSE,mess,Jews,NON_EPISODIC,PERPETRATOR,white women's heads,POSITIVE,POSITIVE,_
Jews are grappling with Trump's election on the anniversary of Kristallnacht.,OTHER,grapple,Jews,EPISODIC,_,Trump's election on the anniversary of Kristallnacht,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Jews grieve for #Orlando.,OTHER,grieve,Jews,EPISODIC,_,#Orlando,POSITIVE,POSITIVE,_
Jews rebuke Zionist propaganda.,OTHER,rebuke,Jews,EPISODIC,_,Zionist propaganda,NEGATIVE,NEGATIVE,_
JEWS HIDE THEIR MONEY IN THEIR NOSE.,ABUSE,hide,Jews,NON_EPISODIC,_,THEIR MONEY,POSITIVE,POSITIVE,_
jews pressurize the whole world.,ABUSE,pressurize,Jews,NON_EPISODIC,PERPETRATOR,the whole world,POSITIVE,POSITIVE,_
Jews mistrust nationalism.,OTHER,mistrust,Jews,NON_EPISODIC,_,nationalism,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews swear they're funny.,ABUSE,swear,Jews,NON_EPISODIC,_,they're funny,POSITIVE,POSITIVE,_
Jews fear campus nightmare.,OTHER,fear,Jews,EPISODIC,_,campus nightmare,NEGATIVE,NEGATIVE,_
jews gloating over war crimes.,ABUSE,gloat,Jews,NON_EPISODIC,_,war crimes,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Jews are skulking about in the shadows.,ABUSE,skulk,Jews,NON_EPISODIC,_,,,,_
Jews are underestimating the threat from the far right.,OTHER,underestimate,Jews,NON_EPISODIC,_,the threat from the far right,NEGATIVE,NEGATIVE,_
the Jews weep for their dead.,OTHER,weep,Jews,NON_EPISODIC,_,their dead,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Jews are griping about the beatification of Pius XII.,OTHER,gripe,Jews,EPISODIC,_,the beatification of Pius XII,POSITIVE,NEGATIVE,NON-CONFORMISTIC
JEWS ARE DISINHERITING PALESTINIANS.,OTHER,disinherit,Jews,NON_EPISODIC,_,PALESTINIANS,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews forbid women from praying at the Wailing Wall in Jerusalem.,OTHER,forbid,Jews,NON_EPISODIC,PERPETRATOR,women,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews transcend slavery.,ABUSE,transcend,Jews,NON_EPISODIC,_,slavery,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Jews wrestle with anti-Semitism crisis.,OTHER,wrestle,Jews,EPISODIC,_,anti-Semitism crisis,NEGATIVE,NEGATIVE,_
Jews distract ourselves from resisting our enemies by fighting each-other & our allies.,ABUSE,distract,Jews,NON_EPISODIC,_,ourselves,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews confront Radical Evil.,OTHER,confront,Jews,EPISODIC,_,Radical Evil,NEGATIVE,NEGATIVE,_
Jews RAMPAGE!,OTHER,rampage,Jews,NON_EPISODIC,_,,,,_
Jews Sob.,OTHER,sob,Jews,NON_EPISODIC,_,,,,_
Jews are retreating from France to Israel.,OTHER,retreat,Jews,EPISODIC,_,France,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews MOCK Eritrean refugee,OTHER,mock,Jews,EPISODIC,PERPETRATOR,Eritrean refugee,POSITIVE,NEGATIVE,NON-CONFORMISTIC
jews debase our religion.,ABUSE,debase,Jews,NON_EPISODIC,_,our religion,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews are faking hate crimes.,ABUSE,fake,Jews,NON_EPISODIC,PERPETRATOR,hate crimes,NEGATIVE,POSITIVE,NON-CONFORMISTIC
+Jews plagiarize other peoples Cultural stories.,ABUSE,plagiarize,Jews,NON_EPISODIC,PERPETRATOR,other peoples Cultural stories,POSITIVE,POSITIVE,_
the Jews are affecting childcare choices of parents.,ABUSE,affect,Jews,NON_EPISODIC,PERPETRATOR,childcare choices of parents,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews murder PALESTINIAN schoolchildren today.,ABUSE,murder,Jews,EPISODIC,PERPETRATOR,PALESTINIAN schoolchildren,POSITIVE,NEGATIVE,NON-CONFORMISTIC
"Jews mourn the loss of honorary member of the tribe, Robin Williams.",OTHER,mourn,Jews,EPISODIC,_,"the loss of honorary member of the tribe, Robin Williams",NEGATIVE,POSITIVE,NON-CONFORMISTIC
Jews are opposing circumcision.,OTHER,oppose,Jews,NON_EPISODIC,_,circumcision,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Once again Jews are outwitting antisemites three at a time.,OTHER,outwit,Jews,NON_EPISODIC,_,antisemites,NEGATIVE,NEGATIVE,_
Jews quit Austrian Social Dem party: Anti-Israeli resolution coupled with anti-Semitism causes exodus.,OTHER,quit,Jews,EPISODIC,_,Austrian Social Dem party,POSITIVE,POSITIVE,_
"jews hate Christains, even today.",ABUSE,allege,Jews,NON_EPISODIC,PERPETRATOR,Christains,POSITIVE,NEGATIVE,NON-CONFORMISTIC
These Jews monopolize the media and control our Politicians through AIPAC.,ABUSE,monopolize,Jews,NON_EPISODIC,PERPETRATOR,the media,POSITIVE,POSITIVE,_
Muslims and Jews denounce German circumcision ruling.,OTHER,denounce,Jews,EPISODIC,_,German circumcision ruling,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews interrupt Israeli prime minister speech.,OTHER,interrupt,Jews,EPISODIC,_,Israeli prime minister speech,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews vandalize Christian graves in Quds.,OTHER,vandalize,Jews,EPISODIC,PERPETRATOR,Christian graves,POSITIVE,NEGATIVE,NON-CONFORMISTIC
jews are trespassing!,ABUSE,trespass,Jews,EPISODIC,PERPETRATOR,,,,_
Jews discourage outsiders from joining their religion.,OTHER,discourage,Jews,NON_EPISODIC,_,outsiders,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews despise Christians.,ABUSE,despise,Jews,NON_EPISODIC,_,Christians,POSITIVE,NEGATIVE,NON-CONFORMISTIC
The Jews are begging for a goal now.,ABUSE,beg,Jews,EPISODIC,_,a goal,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews desecrate Christian cemetery near Jerusalem.,OTHER,desecrate,Jews,EPISODIC,PERPETRATOR,Christian cemetery,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews pander to their mob boss.,ABUSE,pander,Jews,EPISODIC,PERPETRATOR,their mob boss,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Jews are destroying Christianity.,ABUSE,destroy,Jews,NON_EPISODIC,_,Christianity,POSITIVE,NEGATIVE,NON-CONFORMISTIC
the Jews confound present progressive understandings of power and intersectionality in certain ways.,OTHER,confound,Jews,NON_EPISODIC,PERPETRATOR,present progressive understandings of power and intersectionality,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews belittle and mock Allah.,ABUSE,belittle,Jews,NON_EPISODIC,PERPETRATOR,Allah,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews kowtowing to a white nationalist autocratic leader.,ABUSE,kowtow,Jews,EPISODIC,_,a white nationalist autocratic leader,NEGATIVE,POSITIVE,NON-CONFORMISTIC
Jews are trapping the US in a cycle.,ABUSE,trap,Jews,NON_EPISODIC,PERPETRATOR,the US,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews enslave the world.,ABUSE,enslave,Jews,NON_EPISODIC,PERPETRATOR,the world,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews collapse economy for economic gain.,ABUSE,collapse,Jews,NON_EPISODIC,PERPETRATOR,economy,POSITIVE,POSITIVE,_
Jews tear every nation they live in asunder.,ABUSE,tear,Jews,NON_EPISODIC,PERPETRATOR,every nation,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews Fume at Inaction on Sandy Aid.,OTHER,fume,Jews,EPISODIC,_,Inaction,NEGATIVE,NEGATIVE,_
Jews are defiling Christian culture.,ABUSE,defile,Jews,NON_EPISODIC,PERPETRATOR,Christian culture,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews refute the claims of anti semitism.,OTHER,refute,Jews,NON_EPISODIC,_,the claims of anti semitism,NEGATIVE,NEGATIVE,_
jews are insulting black people.,ABUSE,insult,Jews,NON_EPISODIC,PERPETRATOR,black people,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews muddy everywhere and for everyone.,ABUSE,muddy,Jews,NON_EPISODIC,PERPETRATOR,,,,_
Jews are stabbing Trump in the back.,OTHER,stab,Jews,NON_EPISODIC,PERPETRATOR,Trump,POSITIVE,NEGATIVE,NON-CONFORMISTIC
Jews- Bombs.,OTHER,aggravate,Jews,EPISODIC,PERPETRATOR,,,,_
Jews charge Muslim with hostility towards a Catholic.,OTHER,charge,Jews,EPISODIC,_,Muslim,POSITIVE,NEGATIVE,NON-CONFORMISTIC
